"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Info"
"2553","39.807986532","10.43.1.228","52.43.139.170","TCP","1514","51944","443","51944  >  443 [ACK] Seq=1788 Ack=3455 Win=64128 Len=1448 TSval=863889736 TSecr=4164895727 [TCP segment of a reassembled PDU]"
"2554","39.807987724","10.43.1.228","52.43.139.170","TLSv1.2","113","51944","443","Application Data"
"2555","39.808216400","52.43.139.170","10.43.1.228","TCP","66","443","51944","443  >  51944 [ACK] Seq=3455 Ack=1788 Win=63744 Len=0 TSval=4164895927 TSecr=863889736"
"2556","39.808407885","52.43.139.170","10.43.1.228","TCP","66","443","51944","443  >  51944 [ACK] Seq=3455 Ack=3236 Win=62272 Len=0 TSval=4164895927 TSecr=863889736"
"2557","39.808423238","52.43.139.170","10.43.1.228","TCP","66","443","51944","443  >  51944 [ACK] Seq=3455 Ack=3283 Win=62208 Len=0 TSval=4164895927 TSecr=863889736"
"2558","39.808509581","10.43.1.228","52.43.139.170","TCP","1514","51946","443","51946  >  443 [ACK] Seq=340 Ack=3455 Win=64128 Len=1448 TSval=863889736 TSecr=3078016514 [TCP segment of a reassembled PDU]"
"2559","39.808514008","10.43.1.228","52.43.139.170","TCP","1514","51946","443","51946  >  443 [ACK] Seq=1788 Ack=3455 Win=64128 Len=1448 TSval=863889736 TSecr=3078016514 [TCP segment of a reassembled PDU]"
"2560","39.808514814","10.43.1.228","52.43.139.170","TCP","1514","51946","443","51946  >  443 [ACK] Seq=3236 Ack=3455 Win=64128 Len=1448 TSval=863889736 TSecr=3078016514 [TCP segment of a reassembled PDU]"
"2561","39.808515584","10.43.1.228","52.43.139.170","TCP","1514","51946","443","51946  >  443 [ACK] Seq=4684 Ack=3455 Win=64128 Len=1448 TSval=863889736 TSecr=3078016514 [TCP segment of a reassembled PDU]"
"2562","39.808516385","10.43.1.228","52.43.139.170","TCP","1514","51946","443","51946  >  443 [ACK] Seq=6132 Ack=3455 Win=64128 Len=1448 TSval=863889736 TSecr=3078016514 [TCP segment of a reassembled PDU]"
"2563","39.808774419","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3455 Ack=1788 Win=63744 Len=0 TSval=3078016704 TSecr=863889736"
"2564","39.808918009","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3455 Ack=3236 Win=62272 Len=0 TSval=3078016704 TSecr=863889736"
"2565","39.808936653","10.43.1.228","52.43.139.170","TCP","1514","51946","443","51946  >  443 [ACK] Seq=7580 Ack=3455 Win=64128 Len=1448 TSval=863889736 TSecr=3078016514 [TCP segment of a reassembled PDU]"
"2566","39.808942448","10.43.1.228","52.43.139.170","TLSv1.2","1211","51946","443","Application Data"
"2567","39.809061331","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3455 Ack=4684 Win=60800 Len=0 TSval=3078016704 TSecr=863889736"
"2568","39.809152733","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3455 Ack=6132 Win=59392 Len=0 TSval=3078016704 TSecr=863889736"
"2569","39.809299820","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3455 Ack=7580 Win=57920 Len=0 TSval=3078016704 TSecr=863889736"
"2570","39.809418930","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3455 Ack=9028 Win=56448 Len=0 TSval=3078016704 TSecr=863889736"
"2571","39.809528256","52.43.139.170","10.43.1.228","TCP","66","443","51946","443  >  51946 [ACK] Seq=3455 Ack=10173 Win=55360 Len=0 TSval=3078016704 TSecr=863889736"
"2588","40.089521126","52.43.139.170","10.43.1.228","TLSv1.2","222","443","51944","Application Data"
"2589","40.089614706","10.43.1.228","52.43.139.170","TCP","66","51944","443","51944  >  443 [ACK] Seq=3283 Ack=3611 Win=64128 Len=0 TSval=863890017 TSecr=4164896207"
"2590","40.094325885","52.43.139.170","10.43.1.228","TLSv1.2","222","443","51946","Application Data"
"2591","40.094410057","10.43.1.228","52.43.139.170","TCP","66","51946","443","51946  >  443 [ACK] Seq=10173 Ack=3611 Win=64128 Len=0 TSval=863890022 TSecr=3078016994"
"2640","41.131297140","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#4] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007478530 TSecr=2483952971"
"2641","41.131315127","10.43.1.228","52.40.41.239","TCP","66","36002","443","[TCP Dup ACK 17#4] 36002  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2440143152 TSecr=3657158703"
"2642","41.131435778","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#4] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2483963211 TSecr=1007427386"
"2643","41.131466149","52.40.41.239","10.43.1.228","TCP","66","443","36002","[TCP Dup ACK 18#4] [TCP ACKed unseen segment] 443  >  36002 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=3657168943 TSecr=2440092306"
"2676","41.571394698","10.43.1.228","124.124.201.170","HTTP","362","54068","80","[TCP Previous segment not captured] GET /success.txt HTTP/1.1 "
"2678","41.571575508","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP ACKed unseen segment] 80  >  54068 [ACK] Seq=1 Ack=298 Win=1014 Len=0 TSval=3326371698 TSecr=1713307125"
"2700","41.624561312","124.124.201.170","10.43.1.228","HTTP","507","80","54068","HTTP/1.1 200 OK  (text/plain)"
"2701","41.624616234","10.43.1.228","124.124.201.170","TCP","66","54068","80","54068  >  80 [ACK] Seq=298 Ack=442 Win=501 Len=0 TSval=1713307179 TSecr=3326371748"
"2704","41.626949415","10.43.1.228","124.124.201.170","HTTP","367","54070","80","[TCP Previous segment not captured] GET /success.txt?ipv4 HTTP/1.1 "
"2705","41.627094693","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP ACKed unseen segment] 80  >  54070 [ACK] Seq=1 Ack=303 Win=1014 Len=0 TSval=1056723236 TSecr=1713307181"
"2712","41.679769738","124.124.201.170","10.43.1.228","HTTP","507","80","54070","HTTP/1.1 200 OK  (text/plain)"
"2713","41.679824920","10.43.1.228","124.124.201.170","TCP","66","54070","80","54070  >  80 [ACK] Seq=303 Ack=442 Win=501 Len=0 TSval=1713307234 TSecr=1056723286"
"2740","41.899306132","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#4] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773109189 TSecr=2823022384"
"2741","41.899481448","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#4] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823032624 TSecr=773058198"
"2838","43.572109513","10.43.1.228","13.35.130.96","TLSv1.2","112","40184","443","Application Data"
"2839","43.572266260","13.35.130.96","10.43.1.228","TCP","66","443","40184","443  >  40184 [ACK] Seq=1 Ack=47 Win=1000 Len=0 TSval=4172990357 TSecr=3052414046"
"2842","43.578420472","13.35.130.96","10.43.1.228","TLSv1.2","112","443","40184","Application Data"
"2843","43.578452079","10.43.1.228","13.35.130.96","TCP","66","40184","443","40184  >  443 [ACK] Seq=47 Ack=47 Win=501 Len=0 TSval=3052414052 TSecr=4172990357"
"2894","44.572578476","10.43.1.228","34.98.75.36","TLSv1.2","112","33052","443","Application Data"
"2895","44.572709213","10.43.1.228","172.217.160.234","TLSv1.2","105","42688","443","Application Data"
"2896","44.572781770","34.98.75.36","10.43.1.228","TCP","66","443","33052","443  >  33052 [ACK] Seq=1 Ack=47 Win=1006 Len=0 TSval=2842978023 TSecr=2494863110"
"2897","44.572821403","172.217.160.234","10.43.1.228","TCP","66","443","42688","443  >  42688 [ACK] Seq=1 Ack=40 Win=1001 Len=0 TSval=199900673 TSecr=3466680646"
"2900","44.578744517","34.98.75.36","10.43.1.228","TLSv1.2","112","443","33052","Application Data"
"2901","44.578898453","172.217.160.234","10.43.1.228","TLSv1.2","105","443","42688","Application Data"
"2903","44.619139119","10.43.1.228","34.98.75.36","TCP","66","33052","443","33052  >  443 [ACK] Seq=47 Ack=47 Win=501 Len=0 TSval=2494863157 TSecr=2842978023"
"2904","44.619149858","10.43.1.228","172.217.160.234","TCP","66","42688","443","42688  >  443 [ACK] Seq=40 Ack=40 Win=15200 Len=0 TSval=3466680692 TSecr=199900673"
"2951","45.483099482","10.43.1.228","13.35.130.75","TCP","66","49586","443","[TCP Dup ACK 395#4] 49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043928728 TSecr=2328287489"
"2952","45.483132338","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Dup ACK 396#4] 55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081660706 TSecr=625180605"
"2953","45.483206379","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP Dup ACK 397#4] [TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328297729 TSecr=3043867614"
"2954","45.483493697","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP Dup ACK 398#4] [TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625190845 TSecr=3081599597"
"2972","45.781091579","52.35.88.102","10.43.1.228","TLSv1.2","97","443","59610","[TCP ACKed unseen segment] , Encrypted Alert"
"2973","45.781149774","10.43.1.228","52.35.88.102","TCP","66","59610","443","[TCP Previous segment not captured] 59610  >  443 [ACK] Seq=2 Ack=32 Win=501 Len=0 TSval=1767751931 TSecr=2241111029"
"2974","45.781385734","10.43.1.228","52.35.88.102","TLSv1.2","97","59610","443","Encrypted Alert"
"2975","45.781423493","10.43.1.228","52.35.88.102","TCP","66","59610","443","59610  >  443 [FIN, ACK] Seq=33 Ack=32 Win=501 Len=0 TSval=1767751931 TSecr=2241111029"
"2976","45.781480332","52.35.88.102","10.43.1.228","TCP","66","443","59610","[TCP ACKed unseen segment] 443  >  59610 [ACK] Seq=32 Ack=33 Win=992 Len=0 TSval=2241111029 TSecr=1767751931"
"2977","45.781517034","52.35.88.102","10.43.1.228","TCP","66","443","59610","443  >  59610 [ACK] Seq=32 Ack=34 Win=992 Len=0 TSval=2241111029 TSecr=1767751931"
"2978","45.781554067","52.35.88.102","10.43.1.228","TCP","66","443","59610","443  >  59610 [FIN, ACK] Seq=32 Ack=34 Win=992 Len=0 TSval=2241111029 TSecr=1767751931"
"2979","45.781580779","10.43.1.228","52.35.88.102","TCP","66","59610","443","59610  >  443 [ACK] Seq=34 Ack=33 Win=501 Len=0 TSval=1767751931 TSecr=2241111029"
"3041","47.275172259","10.43.1.228","13.224.21.88","TCP","66","33138","443","[TCP Dup ACK 484#4] 33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143623978 TSecr=2774340727"
"3042","47.275311085","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP Dup ACK 485#4] [TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774350967 TSecr=4143562738"
"3130","49.067121669","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529138744 TSecr=4029036712"
"3131","49.067219777","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029046952 TSecr=2529097940"
"3160","49.835174319","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Keep-Alive] 48510  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007487234 TSecr=2798322927"
"3161","49.835184997","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Keep-Alive] 48512  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007487234 TSecr=4171373386"
"3162","49.835339639","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Keep-Alive ACK] 80  >  48510 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=2798332957 TSecr=1007477205"
"3163","49.835533507","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Keep-Alive ACK] 80  >  48512 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=4171383416 TSecr=1007477205"
"3179","50.091212109","10.43.1.228","52.43.139.170","TCP","66","51944","443","[TCP Keep-Alive] 51944  >  443 [ACK] Seq=3282 Ack=3611 Win=64128 Len=0 TSval=863900019 TSecr=4164896207"
"3180","50.091411192","52.43.139.170","10.43.1.228","TCP","66","443","51944","[TCP Keep-Alive ACK] 443  >  51944 [ACK] Seq=3611 Ack=3283 Win=62208 Len=0 TSval=4164906217 TSecr=863890017"
"3188","50.347329969","10.43.1.228","52.43.139.170","TCP","66","51946","443","[TCP Keep-Alive] 51946  >  443 [ACK] Seq=10172 Ack=3611 Win=64128 Len=0 TSval=863900275 TSecr=3078016994"
"3189","50.347477851","52.43.139.170","10.43.1.228","TCP","66","443","51946","[TCP Keep-Alive ACK] 443  >  51946 [ACK] Seq=3611 Ack=10173 Win=55360 Len=0 TSval=3078027244 TSecr=863890022"
"3209","50.594457015","52.40.41.239","10.43.1.228","TLSv1.2","97","443","36002","[TCP ACKed unseen segment] , Encrypted Alert"
"3210","50.594497030","10.43.1.228","52.40.41.239","TCP","66","36002","443","[TCP Previous segment not captured] 36002  >  443 [ACK] Seq=2 Ack=32 Win=501 Len=0 TSval=2440152615 TSecr=3657178403"
"3211","50.594657948","10.43.1.228","52.40.41.239","TLSv1.2","97","36002","443","Encrypted Alert"
"3212","50.594673892","10.43.1.228","52.40.41.239","TCP","66","36002","443","36002  >  443 [FIN, ACK] Seq=33 Ack=32 Win=501 Len=0 TSval=2440152616 TSecr=3657178403"
"3213","50.594762701","52.40.41.239","10.43.1.228","TCP","66","443","36002","[TCP ACKed unseen segment] 443  >  36002 [ACK] Seq=32 Ack=33 Win=1000 Len=0 TSval=3657178403 TSecr=2440152616"
"3214","50.594774953","52.40.41.239","10.43.1.228","TCP","66","443","36002","443  >  36002 [ACK] Seq=32 Ack=34 Win=1000 Len=0 TSval=3657178403 TSecr=2440152616"
"3215","50.594949427","52.40.41.239","10.43.1.228","TCP","66","443","36002","443  >  36002 [FIN, ACK] Seq=32 Ack=34 Win=1000 Len=0 TSval=3657178403 TSecr=2440152616"
"3216","50.594967578","10.43.1.228","52.40.41.239","TCP","66","36002","443","36002  >  443 [ACK] Seq=34 Ack=33 Win=501 Len=0 TSval=2440152616 TSecr=3657178403"
"3261","51.371333196","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#5] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007488770 TSecr=2483963211"
"3262","51.371480644","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#5] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2483973451 TSecr=1007427386"
"3277","51.627298648","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Keep-Alive] 54068  >  80 [ACK] Seq=297 Ack=442 Win=501 Len=0 TSval=1713317181 TSecr=3326371748"
"3278","51.627455021","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Keep-Alive ACK] 80  >  54068 [ACK] Seq=442 Ack=298 Win=1014 Len=0 TSval=3326381748 TSecr=1713307179"
"3291","51.883337376","10.43.1.228","124.124.201.170","TCP","66","54070","80","[TCP Keep-Alive] 54070  >  80 [ACK] Seq=302 Ack=442 Win=501 Len=0 TSval=1713317437 TSecr=1056723286"
"3292","51.883502171","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP Keep-Alive ACK] 80  >  54070 [ACK] Seq=442 Ack=303 Win=1014 Len=0 TSval=1056733496 TSecr=1713307234"
"3310","52.139146154","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#5] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773119429 TSecr=2823032624"
"3311","52.139439419","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#5] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823042864 TSecr=773058198"
"3504","55.723157465","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Dup ACK 396#5] 55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081670946 TSecr=625190845"
"3505","55.723181738","10.43.1.228","13.35.130.75","TCP","66","49586","443","[TCP Dup ACK 395#5] 49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043938968 TSecr=2328297729"
"3506","55.723273135","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP Dup ACK 398#5] [TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625201085 TSecr=3081599597"
"3507","55.723308553","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP Dup ACK 397#5] [TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328307969 TSecr=3043867614"
"3587","57.515321542","10.43.1.228","13.224.21.88","TCP","66","33138","443","[TCP Dup ACK 484#5] 33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143634218 TSecr=2774350967"
"3588","57.515545425","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP Dup ACK 485#5] [TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774361207 TSecr=4143562738"
"3679","59.307131311","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529148984 TSecr=4029046952"
"3680","59.307246538","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029057192 TSecr=2529097940"
"3731","60.075316216","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Keep-Alive] 48510  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007497474 TSecr=2798332957"
"3732","60.075360651","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Keep-Alive] 48512  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007497474 TSecr=4171383416"
"3733","60.075413093","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Keep-Alive ACK] 80  >  48510 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=2798343197 TSecr=1007477205"
"3734","60.075539750","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Keep-Alive ACK] 80  >  48512 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=4171393656 TSecr=1007477205"
"3744","60.331142944","10.43.1.228","52.43.139.170","TCP","66","51944","443","[TCP Keep-Alive] 51944  >  443 [ACK] Seq=3282 Ack=3611 Win=64128 Len=0 TSval=863910259 TSecr=4164906217"
"3745","60.331280288","52.43.139.170","10.43.1.228","TCP","66","443","51944","[TCP Keep-Alive ACK] 443  >  51944 [ACK] Seq=3611 Ack=3283 Win=62208 Len=0 TSval=4164916457 TSecr=863890017"
"3759","60.587189690","10.43.1.228","52.43.139.170","TCP","66","51946","443","[TCP Keep-Alive] 51946  >  443 [ACK] Seq=10172 Ack=3611 Win=64128 Len=0 TSval=863910515 TSecr=3078027244"
"3760","60.587288546","52.43.139.170","10.43.1.228","TCP","66","443","51946","[TCP Keep-Alive ACK] 443  >  51946 [ACK] Seq=3611 Ack=10173 Win=55360 Len=0 TSval=3078037484 TSecr=863890022"
"3817","61.611138335","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#6] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007499010 TSecr=2483973451"
"3818","61.611387232","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#6] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2483983691 TSecr=1007427386"
"3835","61.867098421","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Keep-Alive] 54068  >  80 [ACK] Seq=297 Ack=442 Win=501 Len=0 TSval=1713327421 TSecr=3326381748"
"3837","61.868772568","124.124.201.170","10.43.1.228","TCP","66","80","54068","[TCP Keep-Alive ACK] 80  >  54068 [ACK] Seq=442 Ack=298 Win=1014 Len=0 TSval=3326391988 TSecr=1713307179"
"3851","62.123305541","10.43.1.228","124.124.201.170","TCP","66","54070","80","[TCP Keep-Alive] 54070  >  80 [ACK] Seq=302 Ack=442 Win=501 Len=0 TSval=1713327677 TSecr=1056733496"
"3852","62.123402454","124.124.201.170","10.43.1.228","TCP","66","80","54070","[TCP Keep-Alive ACK] 80  >  54070 [ACK] Seq=442 Ack=303 Win=1014 Len=0 TSval=1056743736 TSecr=1713307234"
"3893","62.379127349","10.43.1.228","99.86.47.82","TCP","66","60150","443","[TCP Dup ACK 54#6] 60150  >  443 [ACK] Seq=1 Ack=1 Win=1458 Len=0 TSval=773129669 TSecr=2823042864"
"3894","62.379227826","99.86.47.82","10.43.1.228","TCP","66","443","60150","[TCP Dup ACK 55#6] [TCP ACKed unseen segment] 443  >  60150 [ACK] Seq=1 Ack=2 Win=934 Len=0 TSval=2823053104 TSecr=773058198"
"4248","65.963299138","10.43.1.228","172.217.161.3","TCP","66","55504","80","[TCP Dup ACK 396#6] 55504  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3081681186 TSecr=625201085"
"4249","65.963309481","10.43.1.228","13.35.130.75","TCP","66","49586","443","[TCP Dup ACK 395#6] 49586  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3043949208 TSecr=2328307969"
"4250","65.963459149","172.217.161.3","10.43.1.228","TCP","66","80","55504","[TCP Dup ACK 398#6] [TCP ACKed unseen segment] 80  >  55504 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=625211325 TSecr=3081599597"
"4251","65.963477084","13.35.130.75","10.43.1.228","TCP","66","443","49586","[TCP Dup ACK 397#6] [TCP ACKed unseen segment] 443  >  49586 [ACK] Seq=1 Ack=2 Win=1001 Len=0 TSval=2328318209 TSecr=3043867614"
"4344","67.755305142","10.43.1.228","13.224.21.88","TCP","66","33138","443","[TCP Dup ACK 484#6] 33138  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4143644458 TSecr=2774361207"
"4345","67.755482003","13.224.21.88","10.43.1.228","TCP","66","443","33138","[TCP Dup ACK 485#6] [TCP ACKed unseen segment] 443  >  33138 [ACK] Seq=1 Ack=2 Win=1009 Len=0 TSval=2774371447 TSecr=4143562738"
"4425","69.042569041","10.43.1.228","35.224.99.156","TCP","74","60540","80","60540  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1634988784 TSecr=0 WS=128"
"4426","69.042690795","35.224.99.156","10.43.1.228","TCP","74","80","60540","80  >  60540 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM=1 TSval=604395615 TSecr=1634988784"
"4427","69.042769688","10.43.1.228","35.224.99.156","TCP","66","60540","80","60540  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1634988785 TSecr=604395615"
"4428","69.042921603","10.43.1.228","35.224.99.156","HTTP","153","60540","80","GET / HTTP/1.1 "
"4429","69.043026284","35.224.99.156","10.43.1.228","TCP","66","80","60540","80  >  60540 [ACK] Seq=1 Ack=88 Win=65408 Len=0 TSval=604395615 TSecr=1634988785"
"4439","69.305461919","35.224.99.156","10.43.1.228","HTTP","302","80","60540","HTTP/1.1 204 No Content "
"4440","69.305540900","10.43.1.228","35.224.99.156","TCP","66","60540","80","60540  >  80 [ACK] Seq=88 Ack=237 Win=64128 Len=0 TSval=1634989047 TSecr=604395875"
"4441","69.305552607","35.224.99.156","10.43.1.228","TCP","66","80","60540","80  >  60540 [FIN, ACK] Seq=237 Ack=88 Win=65408 Len=0 TSval=604395875 TSecr=1634988785"
"4442","69.305780828","10.43.1.228","35.224.99.156","TCP","66","60540","80","60540  >  80 [FIN, ACK] Seq=88 Ack=238 Win=64128 Len=0 TSval=1634989048 TSecr=604395875"
"4443","69.305871140","35.224.99.156","10.43.1.228","TCP","66","80","60540","80  >  60540 [ACK] Seq=238 Ack=89 Win=65408 Len=0 TSval=604395875 TSecr=1634989048"
"4453","69.547322455","10.43.1.228","13.224.21.66","TCP","66","60270","443","[TCP Keep-Alive] 60270  >  443 [ACK] Seq=436 Ack=581 Win=623 Len=0 TSval=2529159224 TSecr=4029057192"
"4454","69.547512278","13.224.21.66","10.43.1.228","TCP","66","443","60270","[TCP Keep-Alive ACK] 443  >  60270 [ACK] Seq=581 Ack=437 Win=890 Len=0 TSval=4029067432 TSecr=2529097940"
"4493","70.315322920","10.43.1.228","117.18.237.29","TCP","66","48510","80","[TCP Keep-Alive] 48510  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007507714 TSecr=2798343197"
"4494","70.315351302","10.43.1.228","117.18.237.29","TCP","66","48512","80","[TCP Keep-Alive] 48512  >  80 [ACK] Seq=380 Ack=869 Win=501 Len=0 TSval=1007507714 TSecr=4171393656"
"4495","70.315791265","117.18.237.29","10.43.1.228","TCP","66","80","48510","[TCP Keep-Alive ACK] 80  >  48510 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=2798353437 TSecr=1007477205"
"4496","70.315838946","117.18.237.29","10.43.1.228","TCP","66","80","48512","[TCP Keep-Alive ACK] 80  >  48512 [ACK] Seq=869 Ack=381 Win=1012 Len=0 TSval=4171403896 TSecr=1007477205"
"4514","70.571330668","10.43.1.228","52.43.139.170","TCP","66","51944","443","[TCP Keep-Alive] 51944  >  443 [ACK] Seq=3282 Ack=3611 Win=64128 Len=0 TSval=863920499 TSecr=4164916457"
"4515","70.571434680","52.43.139.170","10.43.1.228","TCP","66","443","51944","[TCP Keep-Alive ACK] 443  >  51944 [ACK] Seq=3611 Ack=3283 Win=62208 Len=0 TSval=4164926697 TSecr=863890017"
"4528","70.827297954","10.43.1.228","52.43.139.170","TCP","66","51946","443","[TCP Keep-Alive] 51946  >  443 [ACK] Seq=10172 Ack=3611 Win=64128 Len=0 TSval=863920755 TSecr=3078037484"
"4529","70.827533518","52.43.139.170","10.43.1.228","TCP","66","443","51946","[TCP Keep-Alive ACK] 443  >  51946 [ACK] Seq=3611 Ack=10173 Win=55360 Len=0 TSval=3078047724 TSecr=863890022"
"4584","71.851166286","10.43.1.228","117.18.237.29","TCP","66","48530","80","[TCP Dup ACK 9#7] 48530  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1007509250 TSecr=2483983691"
"4585","71.851281298","117.18.237.29","10.43.1.228","TCP","66","80","48530","[TCP Dup ACK 10#7] [TCP ACKed unseen segment] 80  >  48530 [ACK] Seq=1 Ack=2 Win=1018 Len=0 TSval=2483993921 TSecr=1007427386"
"4605","72.107305184","10.43.1.228","124.124.201.170","TCP","66","54068","80","[TCP Keep-Alive] 54068  >  80 [ACK] Seq=297 Ack=442 Win=501 Len=0 TSval=1713337661 TSecr=3326391988"
